n_agents,movement_saturation,relative_leader_influence,conversion_rate,run_id,aggregation_method,signal_representation
25,45,50,0.23076923076923078,4,product,binary
25,45,50,0.15384615384615385,5,product,binary
25,45,50,0.23076923076923078,6,product,binary
25,45,50,0.23076923076923078,7,product,binary
25,45,50,0.3076923076923077,8,product,binary
25,45,50,0,9,product,binary
25,45,50,0.23076923076923078,10,product,binary
25,50,50,0.3333333333333333,1,product,binary
25,50,50,0.08333333333333333,2,product,binary
25,50,50,0.16666666666666666,3,product,binary
25,50,50,0.16666666666666666,4,product,binary
25,50,50,0.08333333333333333,5,product,binary
25,50,50,0.08333333333333333,6,product,binary
25,50,50,0.08333333333333333,7,product,binary
25,50,50,0.16666666666666666,8,product,binary
25,50,50,0.3333333333333333,9,product,binary
25,50,50,0.16666666666666666,10,product,binary
25,55,50,0.18181818181818182,1,product,binary
25,55,50,0.18181818181818182,2,product,binary
25,55,50,0.18181818181818182,3,product,binary
25,55,50,0.2727272727272727,4,product,binary
25,55,50,0,5,product,binary
25,55,50,0.36363636363636365,6,product,binary
25,55,50,0.36363636363636365,7,product,binary
25,55,50,0.09090909090909091,8,product,binary
25,55,50,0.18181818181818182,9,product,binary
25,55,50,0.09090909090909091,10,product,binary
25,60,50,0,1,product,binary
25,60,50,0.2,2,product,binary
25,60,50,0.1,3,product,binary
25,60,50,0.1,4,product,binary
25,60,50,0.3,5,product,binary
25,60,50,0.3,6,product,binary
25,60,50,0.1,7,product,binary
25,60,50,0.5,8,product,binary
25,60,50,0.4,9,product,binary
25,60,50,0.1,10,product,binary
25,65,50,0.125,1,product,binary
25,65,50,0.25,2,product,binary
25,65,50,0.375,3,product,binary
25,65,50,0.25,4,product,binary
25,65,50,0.125,5,product,binary
25,65,50,0.625,6,product,binary
25,65,50,0.375,7,product,binary
25,65,50,0.125,8,product,binary
25,65,50,0.125,9,product,binary
25,65,50,0.25,10,product,binary
25,70,50,0.42857142857142855,1,product,binary
25,70,50,0.2857142857142857,2,product,binary
25,70,50,0.14285714285714285,3,product,binary
25,70,50,0,4,product,binary
25,70,50,0,5,product,binary
25,70,50,0.2857142857142857,6,product,binary
25,70,50,0.14285714285714285,7,product,binary
25,70,50,0.14285714285714285,8,product,binary
25,70,50,0,9,product,binary
25,70,50,0.42857142857142855,10,product,binary
25,75,50,0.3333333333333333,1,product,binary
25,75,50,0.16666666666666666,2,product,binary
25,75,50,0.5,3,product,binary
25,75,50,0.16666666666666666,4,product,binary
25,75,50,0.8333333333333334,5,product,binary
25,75,50,0.5,6,product,binary
25,75,50,0.5,7,product,binary
25,75,50,0,8,product,binary
25,75,50,0.3333333333333333,9,product,binary
25,75,50,0,10,product,binary
25,80,50,0,1,product,binary
25,80,50,0.4,2,product,binary
25,80,50,0.2,3,product,binary
25,80,50,0.4,4,product,binary
25,80,50,0.2,5,product,binary
25,80,50,0,6,product,binary
25,80,50,0.4,7,product,binary
25,80,50,0.2,8,product,binary
25,80,50,0.2,9,product,binary
25,80,50,1,10,product,binary
25,85,50,0.3333333333333333,1,product,binary
25,85,50,0.3333333333333333,2,product,binary
25,85,50,0,3,product,binary
25,85,50,0.3333333333333333,4,product,binary
25,85,50,0.3333333333333333,5,product,binary
25,85,50,0.3333333333333333,6,product,binary
25,85,50,0,7,product,binary
25,85,50,0.6666666666666666,8,product,binary
25,85,50,1,9,product,binary
25,85,50,0.6666666666666666,10,product,binary
25,90,50,0,1,product,binary
25,90,50,0.5,2,product,binary
25,90,50,0,3,product,binary
25,90,50,0.5,4,product,binary
25,90,50,0.5,5,product,binary
25,90,50,0.5,6,product,binary
25,90,50,0.5,7,product,binary
25,90,50,0.5,8,product,binary
25,90,50,0.5,9,product,binary
25,90,50,0.5,10,product,binary
25,95,50,0,1,product,binary
25,95,50,1,2,product,binary
25,95,50,1,3,product,binary
25,95,50,0,4,product,binary
25,95,50,0,5,product,binary
25,95,50,0,6,product,binary
25,95,50,0,7,product,binary
25,95,50,0,8,product,binary
25,95,50,0,9,product,binary
25,95,50,0,10,product,binary
50,5,50,0.3404255319148936,1,sum-linear,binary
50,5,50,0.5319148936170213,2,sum-linear,binary
50,5,50,0.5106382978723404,3,sum-linear,binary
50,5,50,0.48936170212765956,4,sum-linear,binary
50,5,50,0.44680851063829785,5,sum-linear,binary
50,5,50,0.44680851063829785,6,sum-linear,binary
50,5,50,0.46808510638297873,7,sum-linear,binary
50,5,50,0.44680851063829785,8,sum-linear,binary
50,5,50,0.48936170212765956,9,sum-linear,binary
50,5,50,0.3404255319148936,10,sum-linear,binary
50,10,50,0.5333333333333333,1,sum-linear,binary
50,10,50,0.5555555555555556,2,sum-linear,binary
50,10,50,0.35555555555555557,3,sum-linear,binary
50,10,50,0.3111111111111111,4,sum-linear,binary
50,10,50,0.4222222222222222,5,sum-linear,binary
50,10,50,0.5111111111111111,6,sum-linear,binary
50,10,50,0.5111111111111111,7,sum-linear,binary
50,10,50,0.4666666666666667,8,sum-linear,binary
50,10,50,0.4888888888888889,9,sum-linear,binary
50,10,50,0.26666666666666666,10,sum-linear,binary
50,15,50,0.47619047619047616,1,sum-linear,binary
50,15,50,0.4523809523809524,2,sum-linear,binary
50,15,50,0.47619047619047616,3,sum-linear,binary
50,15,50,0.4523809523809524,4,sum-linear,binary
50,15,50,0.35714285714285715,5,sum-linear,binary
50,15,50,0.6190476190476191,6,sum-linear,binary
50,15,50,0.3333333333333333,7,sum-linear,binary
50,15,50,0.35714285714285715,8,sum-linear,binary
50,15,50,0.5,9,sum-linear,binary
50,15,50,0.38095238095238093,10,sum-linear,binary
50,20,50,0.75,1,sum-linear,binary
50,20,50,0.375,2,sum-linear,binary
50,20,50,0.525,3,sum-linear,binary
50,20,50,0.6,4,sum-linear,binary
50,20,50,0.45,5,sum-linear,binary
50,20,50,0.425,6,sum-linear,binary
50,20,50,0.525,7,sum-linear,binary
50,20,50,0.55,8,sum-linear,binary
50,20,50,0.55,9,sum-linear,binary
50,20,50,0.525,10,sum-linear,binary
50,25,50,0.6486486486486487,1,sum-linear,binary
50,25,50,0.6486486486486487,2,sum-linear,binary
50,25,50,0.35135135135135137,3,sum-linear,binary
50,25,50,0.3783783783783784,4,sum-linear,binary
50,25,50,0.5135135135135135,5,sum-linear,binary
50,25,50,0.40540540540540543,6,sum-linear,binary
50,25,50,0.43243243243243246,7,sum-linear,binary
50,25,50,0.6756756756756757,8,sum-linear,binary
50,25,50,0.4864864864864865,9,sum-linear,binary
50,25,50,0.5405405405405406,10,sum-linear,binary
50,30,50,0.34285714285714286,1,sum-linear,binary
50,30,50,0.5142857142857142,2,sum-linear,binary
50,30,50,0.42857142857142855,3,sum-linear,binary
50,30,50,0.4857142857142857,4,sum-linear,binary
50,30,50,0.37142857142857144,5,sum-linear,binary
50,30,50,0.5142857142857142,6,sum-linear,binary
50,30,50,0.45714285714285713,7,sum-linear,binary
50,30,50,0.5142857142857142,8,sum-linear,binary
50,30,50,0.4857142857142857,9,sum-linear,binary
50,30,50,0.42857142857142855,10,sum-linear,binary
50,35,50,0.59375,1,sum-linear,binary
50,35,50,0.53125,2,sum-linear,binary
50,35,50,0.5,3,sum-linear,binary
50,35,50,0.625,4,sum-linear,binary
50,35,50,0.75,5,sum-linear,binary
50,35,50,0.53125,6,sum-linear,binary
50,35,50,0.59375,7,sum-linear,binary
50,35,50,0.3125,8,sum-linear,binary
50,35,50,0.46875,9,sum-linear,binary
50,35,50,0.71875,10,sum-linear,binary
50,40,50,0.3333333333333333,1,sum-linear,binary
50,40,50,0.6,2,sum-linear,binary
50,40,50,0.4666666666666667,3,sum-linear,binary
50,40,50,0.5333333333333333,4,sum-linear,binary
